Ontology -  all instances of class from New SmartTable with Growth-Media	Matches	Composition	PLATE-ID	Observed-Growth	Object ID	Common-Name	WELL-ID	Summary
MIX0-468	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // RIBITOL		OBS0-271 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-58 // OBS0-57	MIX0-468	PMA carbon source test + D-ribitol	E9	
MIX0-788	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-13413		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-788	PMA carbon source test + D-ribono-1,4-lactone	F7	
MIX0-446	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // RIBOSE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-446	PMA carbon source test + D-ribose	C4	
MIX0-431	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-SERINE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-431	PMA carbon source test + D-serine	B1	
MIX0-432	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // SORBITOL		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-432	PMA carbon source test + D-sorbitol	B2	
MIX0-542	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-24954		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-542	PMA carbon source test + D-tagatose	D6	
MIX0-566	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-TARTRATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-566	PMA carbon source test + D-tartrate	F11	
MIX0-474	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-THREONINE		OBS0-276 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-58 // OBS0-57	MIX0-474	PMA carbon source test + D-threonine	F4	
MIX0-543	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // XYLITOL		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-543	PMA carbon source test + D-xylitol	D8	
MIX0-438	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // D-Xylose		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-60 // OBS0-59 // OBS0-57	MIX0-438	PMA carbon source test + D-xylose	B8	
MIX0-470	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // DEOXYADENOSINE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-470	PMA carbon source test + deoxyadenosine	E11	
MIX0-769	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // DIACETYL		OBS0-308 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-769	PMA carbon source test + diacetyl	H11	
MIX0-587	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // DIHYDROXYACETONE		OBS0-291 // OBS0-255 // OBS0-246 // OBS0-30 // OBS0-104	MIX0-587	PMA carbon source test + dihydroxyacetone	H9	
MIX0-523	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ERYTHRITOL		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-523	PMA carbon source test + erythritol	B10	
MIX0-503	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ETHANOL-AMINE		OBS0-282 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-58 // OBS0-57	MIX0-503	PMA carbon source test + ethanolamine	H12	
MIX0-440	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // FORMATE		OBS0-288 // OBS0-251 // OBS0-130 // OBS0-248 // OBS0-29 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-440	PMA carbon source test + formate	B10	
MIX0-475	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // FUM		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-475	PMA carbon source test + fumarate	F5	
MIX0-477	Phenotype-Microarray-Media	D-GALACTARATE // CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-477	PMA carbon source test + galactarate	F8	
MIX0-507	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3783		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-507	PMA carbon source test + &gamma;-cyclodextrin	A5	
MIX0-795	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE // Gelatin		OBS0-293 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-795	PMA carbon source test + gelatin	A7	
MIX0-464	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLN		OBS0-284 // OBS0-252 // OBS0-130 // OBS0-249 // OBS0-29 // OBS0-102 // OBS0-59 // OBS0-57	MIX0-464	PMA carbon source test + gln	E1	
MIX0-442	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLT		OBS0-285 // OBS0-250 // OBS0-130 // OBS0-248 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-442	PMA carbon source test + glt	B12	
MIX0-456	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLUCOSAMINATE		OBS0-270 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-456	PMA carbon source test + glucosaminate	D3	
MIX0-499	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD0-1656		OBS0-250 // OBS0-132 // OBS0-248 // OBS0-30 // OBS0-102 // OBS0-58 // OBS0-57	MIX0-499	PMA carbon source test + glucuronamide	H7	
MIX0-572	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLY		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-572	PMA carbon source test + gly	G5	
MIX0-778	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-13406		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-778	PMA carbon source test + gly-asp	F1	
MIX0-433	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLYCEROL		OBS0-252 // OBS0-131 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-433	PMA carbon source test + glycerol	B3	
MIX0-509	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE // Glycogens		OBS0-294 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-509	PMA carbon source test + glycogen	A8	
MIX0-478	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLYCOLLATE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-478	PMA carbon source test + glycolate	F9	
MIX0-482	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3569		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-482	PMA carbon source test + glycyl-L-glutamate	G1	
MIX0-493	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-10814		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-493	PMA carbon source test + glycylproline	H1	
MIX0-479	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // GLYOX		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-479	PMA carbon source test + glyoxylate	F10	
MIX0-549	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // HEXANOATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-549	PMA carbon source test + hexanoate	E2	
MIX0-573	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // HIS		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-573	PMA carbon source test + his	G6	
MIX0-521	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // HYDROQUINONE-O-BETA-D-GLUCOPYRANOSIDE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-521	PMA carbon source test + hydroquinone-O-&beta;-D-glucopyranoside	B8	
MIX0-575	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ILE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-575	PMA carbon source test + ile	G9	
MIX0-481	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // INOSINE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-481	PMA carbon source test + inosine	F12	
MIX0-556	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ITACONATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-556	PMA carbon source test + itaconate	E11	
MIX0-457	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // PROPANE-1-2-DIOL		OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-55	MIX0-457	PMA carbon source test + L-1,2-propanediol	D4	
MIX0-569	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-11636		OBS0-254 // OBS0-245 // OBS0-30 // OBS0-104	MIX0-569	PMA carbon source test + L-alanine amide	G2	
MIX0-420	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-ARABINOSE		OBS0-283 // OBS0-252 // OBS0-131 // OBS0-249 // OBS0-204 // OBS0-29 // OBS0-102 // OBS0-59 // OBS0-57	MIX0-420	PMA carbon source test + L-arabinose	A2	
MIX0-520	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-ARABITOL		OBS0-296 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-520	PMA carbon source test + L-arabitol	B7	
MIX0-434	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-fucoses		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-434	PMA carbon source test + L-fucose	B4	
MIX0-794	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-330		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-794	PMA carbon source test + L-galactono-1,4-lactone	H9	
MIX0-527	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3607		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-527	PMA carbon source test + L-glucose	C2	
MIX0-574	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // HOMO-SER		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-574	PMA carbon source test + L-homoserine	G7	
MIX0-579	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-ORNITHINE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-579	PMA carbon source test + L-ornithine	H1	
MIX0-562	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // QUINATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-562	PMA carbon source test + L-quinate	F6	
MIX0-447	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // L-rhamnose		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-210 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-447	PMA carbon source test + L-rhamnose	C6	
MIX0-540	Phenotype-Microarray-Media	CPD-9569 // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-540	PMA carbon source test + L-sorbose	D4	
MIX0-567	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // TARTRATE		OBS0-306 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-567	PMA carbon source test + L-tartrate	F12	
MIX0-768	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD0-2460		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-768	PMA carbon source test + lactitol	C3	
MIX0-460	Phenotype-Microarray-Media	Alpha-lactose // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-460	PMA carbon source test + lactose	D9	
MIX0-461	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3561		OBS0-263 // OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-56	MIX0-461	PMA carbon source test + lactulose	D10	
MIX0-576	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // LEU		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-576	PMA carbon source test + leu	G10	
MIX0-577	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // LYS		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-577	PMA carbon source test + lys	G11	
MIX0-558	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MALONATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-558	PMA carbon source test + malonate	F2	
MIX0-529	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3609		OBS0-299 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-529	PMA carbon source test + maltitol	C5	
MIX0-451	Phenotype-Microarray-Media	MALTOSE // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-60 // OBS0-59 // OBS0-57	MIX0-451	PMA carbon source test + maltose	C10	
MIX0-469	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MALTOTRIOSE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-60 // OBS0-59 // OBS0-57	MIX0-469	PMA carbon source test + maltotriose	E10	
MIX0-789	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-13409		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-789	PMA carbon source test + melezitose	C4	
MIX0-559	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3801		OBS0-269 // OBS0-254 // OBS0-246 // OBS0-30 // OBS0-105	MIX0-559	PMA carbon source test + melibionate	F3	
MIX0-452	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MELIBIOSE		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-452	PMA carbon source test + melibiose	C11	
MIX0-465	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MESO-TARTRATE		OBS0-272 // OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-55	MIX0-465	PMA carbon source test + <i>meso</i>-tartrate	E2	
MIX0-578	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MET		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-578	PMA carbon source test + met	G12	
MIX0-530	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3582		OBS0-253 // OBS0-245 // OBS0-30 // OBS0-104	MIX0-530	PMA carbon source test + methyl &alpha;-D-glucoside	C6	
MIX0-534	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3612		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-534	PMA carbon source test + methyl &alpha;-D-mannopyranoside	C10	
MIX0-780	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3621		OBS0-255 // OBS0-246 // OBS0-30 // OBS0-105	MIX0-780	PMA carbon source test + methyl D-lactate	F1	
MIX0-490	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3573		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-490	PMA carbon source test + methyl pyruvate	G10	
MIX0-786	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3565		OBS0-252 // OBS0-132 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-786	PMA carbon source test + methyl-&alpha;-D-galactopyranoside	D8	
MIX0-784	Phenotype-Microarray-Media	CPD-3570 // SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-784	PMA carbon source test + methyl-&beta; -D-glucoside	E8	
MIX0-531	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // METHYL-BETA-D-GALACTOSIDE		OBS0-266 // OBS0-255 // OBS0-246 // OBS0-29 // OBS0-105	MIX0-531	PMA carbon source test + methyl-&beta;-D-galactoside	C7	
MIX0-489	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3572		OBS0-251 // OBS0-130 // OBS0-249 // OBS0-212 // OBS0-29 // OBS0-102 // OBS0-59 // OBS0-57	MIX0-489	PMA carbon source test + mono-methyl hydrogen succinate	G9	
MIX0-473	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // MYO-INOSITOL		OBS0-275 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-473	PMA carbon source test + <I>myo</I>-inositol	F3	
MIX0-544	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3615		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-544	PMA carbon source test + <i>N</i>-acetyl -D- glucosaminitol	D9	
MIX0-421	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // N-acetyl-D-glucosamine		OBS0-262 // OBS0-252 // OBS0-132 // OBS0-248 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-421	PMA carbon source test + <i>N</i>-acetyl-D-glucosamine	A3	
MIX0-488	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // N-ACETYL-BETA-D-MANNOSAMINE		OBS0-264 // OBS0-252 // OBS0-130 // OBS0-249 // OBS0-29 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-488	PMA carbon source test + <i>N</i>-acetyl-D-mannosamine	G8	
MIX0-570	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // ACETYL-GLU		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-570	PMA carbon source test + <i>N</i>-acetyl-L-glutamate	G3	
MIX0-515	Phenotype-Microarray-Media	CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE // CPD0-1123		OBS0-255 // OBS0-246 // OBS0-30 // OBS0-105	MIX0-515	PMA carbon source test + <i>N</i>-acetylneuraminate	B2	
MIX0-560	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // OXALATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-560	PMA carbon source test + oxalate	F4	
MIX0-536	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-230		OBS0-302 // OBS0-253 // OBS0-245 // OBS0-29 // OBS0-104	MIX0-536	PMA carbon source test + palatinose	C12	
MIX0-580	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // PHE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-580	PMA carbon source test + phe	H2	
MIX0-426	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // PRO		OBS0-287 // OBS0-251 // OBS0-130 // OBS0-249 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-426	PMA carbon source test + pro	A8	
MIX0-483	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // CPD-3571		OBS0-278 // OBS0-250 // OBS0-130 // OBS0-247 // OBS0-28 // OBS0-101 // OBS0-59 // OBS0-57	MIX0-483	PMA carbon source test + propane-1,2,3-tricarboxylate	G2	
MIX0-476	Phenotype-Microarray-Media	SULFATE // FE+3 // K+ // MG+2 // PROTON // Pi // AMMONIUM // NA+ // CL- // CPD0-2459 // PROPIONATE		OBS0-252 // OBS0-130 // OBS0-249 // OBS0-30 // OBS0-103 // OBS0-59 // OBS0-57	MIX0-476	PMA carbon source test + propionate	F7	
MIX0-586	Phenotype-Microarray-Media	PUTRESCINE // CPD0-2459 // CL- // NA+ // AMMONIUM // Pi // PROTON // MG+2 // K+ // FE+3 // SULFATE		OBS0-253 // OBS0-245 // OBS0-28 // OBS0-104	MIX0-586	PMA carbon source test + putrescine	H8	<i>E. coli</i> K-12 can utilise putrescine as a sole source of carbon at 20<sup>o</sup> C |CITS: [20639325], [22636776]|.
